tile_id,scene_id,split_use,i,j,crs,px_size,col_off,row_off,stretch_lo_r,stretch_lo_g,stretch_lo_b,stretch_hi_r,stretch_hi_g,stretch_hi_b,gamma_exponent,qgis_gamma,lo_pct,hi_pct,target_median,fit_basis,nodata_frac,src_raster,done_at
CBERS_4A_WPM_20210711_208_155_L4_33_18,CBERS_4A_WPM_20210711_208_155_L4,train,33,18,EPSG:32722,2.0,33792,18432,61.0,78.0,113.0,188.0,161.0,190.0,0.523,1.912,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210711_208_155_L4_FUSED.tif,2026-08-18T13:37:31+00:00
CBERS_4A_WPM_20210827_211_150_L4_12_14,CBERS_4A_WPM_20210827_211_150_L4,test,12,14,EPSG:32721,2.0,12288,14336,66.0,84.0,118.0,171.0,154.0,181.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_150_L4_FUSED.tif,2026-08-18T13:37:32+00:00
CBERS_4A_WPM_20210827_211_150_L4_24_42,CBERS_4A_WPM_20210827_211_150_L4,train,24,42,EPSG:32721,2.0,24576,43008,66.0,84.0,118.0,171.0,154.0,181.0,1.1726,0.853,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_150_L4_FUSED.tif,2026-08-18T13:37:32+00:00
CBERS_4A_WPM_20210827_211_151_L4_37_38,CBERS_4A_WPM_20210827_211_151_L4,train,37,38,EPSG:32721,2.0,37888,38912,58.0,74.0,112.0,196.0,158.0,192.0,0.8055,1.241,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_151_L4_FUSED.tif,2026-08-18T13:37:33+00:00
CBERS_4A_WPM_20210827_211_152_L4_28_38,CBERS_4A_WPM_20210827_211_152_L4,train,28,38,EPSG:32721,2.0,28672,38912,78.0,96.0,137.0,191.0,159.0,192.0,0.7142,1.4,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_152_L4_FUSED.tif,2026-08-18T13:37:37+00:00
CBERS_4A_WPM_20210827_211_152_L4_34_13,CBERS_4A_WPM_20210827_211_152_L4,train,34,13,EPSG:32721,2.0,34816,13312,78.0,96.0,137.0,191.0,159.0,192.0,0.8134,1.229,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_152_L4_FUSED.tif,2026-08-18T13:37:36+00:00
CBERS_4A_WPM_20210827_211_152_L4_36_35,CBERS_4A_WPM_20210827_211_152_L4,train,36,35,EPSG:32721,2.0,36864,35840,78.0,96.0,137.0,191.0,159.0,192.0,0.8311,1.203,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_152_L4_FUSED.tif,2026-08-18T13:37:36+00:00
CBERS_4A_WPM_20210827_211_152_L4_44_18,CBERS_4A_WPM_20210827_211_152_L4,test,44,18,EPSG:32721,2.0,45056,18432,78.0,96.0,137.0,191.0,159.0,192.0,0.8663,1.154,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210827_211_152_L4_FUSED.tif,2026-08-18T13:37:36+00:00
CBERS_4A_WPM_20220729_212_150_L4_43_15,CBERS_4A_WPM_20220729_212_150_L4,train,43,15,EPSG:32721,2.0,44032,15360,53.0,66.0,99.0,326.0,239.0,239.0,0.5734,1.744,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220729_212_150_L4_FUSED.tif,2026-08-18T13:37:41+00:00
CBERS_4A_WPM_20220729_212_150_L4_43_44,CBERS_4A_WPM_20220729_212_150_L4,test,43,44,EPSG:32721,2.0,44032,45056,53.0,66.0,99.0,326.0,239.0,239.0,0.4469,2.238,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220729_212_150_L4_FUSED.tif,2026-08-18T13:37:40+00:00
CBERS_4A_WPM_20220729_212_150_L4_44_31,CBERS_4A_WPM_20220729_212_150_L4,train,44,31,EPSG:32721,2.0,45056,31744,53.0,66.0,99.0,326.0,239.0,239.0,0.416,2.404,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220729_212_150_L4_FUSED.tif,2026-08-18T13:37:41+00:00
CBERS_4A_WPM_20220729_212_150_L4_45_40,CBERS_4A_WPM_20220729_212_150_L4,train,45,40,EPSG:32721,2.0,46080,40960,53.0,66.0,99.0,326.0,239.0,239.0,0.4972,2.011,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220729_212_150_L4_FUSED.tif,2026-08-18T13:37:41+00:00
CBERS_4A_WPM_20220729_212_150_L4_46_30,CBERS_4A_WPM_20220729_212_150_L4,test,46,30,EPSG:32721,2.0,47104,30720,53.0,66.0,99.0,326.0,239.0,239.0,0.3934,2.542,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220729_212_150_L4_FUSED.tif,2026-08-18T13:37:40+00:00
CBERS_4A_WPM_20220803_211_148_L4_37_26,CBERS_4A_WPM_20220803_211_148_L4,test,37,26,EPSG:32721,2.0,37888,26624,82.0,97.0,135.0,194.0,158.0,193.0,0.7559,1.323,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220803_211_148_L4_FUSED.tif,2026-08-18T13:37:42+00:00
CBERS_4A_WPM_20220803_211_148_L4_48_41,CBERS_4A_WPM_20220803_211_148_L4,train,48,41,EPSG:32721,2.0,49152,41984,82.0,97.0,135.0,194.0,158.0,193.0,0.859,1.164,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20220803_211_148_L4_FUSED.tif,2026-08-18T13:37:43+00:00
CBERS_4A_WPM_20221124_207_153_L4_28_47,CBERS_4A_WPM_20221124_207_153_L4,train,28,47,EPSG:32722,2.0,28672,48128,115.0,144.0,188.0,466.0,386.0,423.0,0.4371,2.288,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:49+00:00
CBERS_4A_WPM_20221124_207_153_L4_29_46,CBERS_4A_WPM_20221124_207_153_L4,train,29,46,EPSG:32722,2.0,29696,47104,115.0,144.0,188.0,466.0,386.0,423.0,0.5427,1.843,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:48+00:00
CBERS_4A_WPM_20221124_207_153_L4_35_20,CBERS_4A_WPM_20221124_207_153_L4,train,35,20,EPSG:32722,2.0,35840,20480,115.0,144.0,188.0,466.0,386.0,423.0,0.8657,1.155,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:48+00:00
CBERS_4A_WPM_20221124_207_153_L4_39_39,CBERS_4A_WPM_20221124_207_153_L4,train,39,39,EPSG:32722,2.0,39936,39936,115.0,144.0,188.0,466.0,386.0,423.0,0.4114,2.431,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:49+00:00
CBERS_4A_WPM_20221124_207_153_L4_42_17,CBERS_4A_WPM_20221124_207_153_L4,test,42,17,EPSG:32722,2.0,43008,17408,115.0,144.0,188.0,466.0,386.0,423.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:47+00:00
CBERS_4A_WPM_20221124_207_153_L4_45_15,CBERS_4A_WPM_20221124_207_153_L4,train,45,15,EPSG:32722,2.0,46080,15360,115.0,144.0,188.0,466.0,386.0,423.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:48+00:00
CBERS_4A_WPM_20221124_207_153_L4_48_18,CBERS_4A_WPM_20221124_207_153_L4,train,48,18,EPSG:32722,2.0,49152,18432,115.0,144.0,188.0,466.0,386.0,423.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20221124_207_153_L4_FUSED.tif,2026-08-18T13:37:49+00:00
CBERS_4A_WPM_20230704_206_151_L4_12_26,CBERS_4A_WPM_20230704_206_151_L4,train,12,26,EPSG:32722,2.0,12288,26624,59.0,73.0,105.0,284.0,247.0,282.0,0.3883,2.575,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:53+00:00
CBERS_4A_WPM_20230704_206_151_L4_17_16,CBERS_4A_WPM_20230704_206_151_L4,train,17,16,EPSG:32722,2.0,17408,16384,59.0,73.0,105.0,284.0,247.0,282.0,0.5181,1.93,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:54+00:00
CBERS_4A_WPM_20230704_206_151_L4_18_22,CBERS_4A_WPM_20230704_206_151_L4,test,18,22,EPSG:32722,2.0,18432,22528,59.0,73.0,105.0,284.0,247.0,282.0,0.4849,2.062,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:53+00:00
CBERS_4A_WPM_20230704_206_151_L4_41_36,CBERS_4A_WPM_20230704_206_151_L4,train,41,36,EPSG:32722,2.0,41984,36864,59.0,73.0,105.0,284.0,247.0,282.0,0.3186,3.139,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:54+00:00
CBERS_4A_WPM_20230704_206_151_L4_42_42,CBERS_4A_WPM_20230704_206_151_L4,train,42,42,EPSG:32722,2.0,43008,43008,59.0,73.0,105.0,284.0,247.0,282.0,0.3521,2.84,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:55+00:00
CBERS_4A_WPM_20230704_206_151_L4_45_38,CBERS_4A_WPM_20230704_206_151_L4,train,45,38,EPSG:32722,2.0,46080,38912,59.0,73.0,105.0,284.0,247.0,282.0,0.3161,3.164,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_151_L4_FUSED.tif,2026-08-18T13:37:55+00:00
CBERS_4A_WPM_20230704_206_152_L4_15_33,CBERS_4A_WPM_20230704_206_152_L4,test,15,33,EPSG:32722,2.0,15360,33792,61.0,88.0,128.0,145.0,134.0,160.0,0.3,3.333,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_152_L4_FUSED.tif,2026-08-18T13:37:57+00:00
CBERS_4A_WPM_20230704_206_152_L4_16_16,CBERS_4A_WPM_20230704_206_152_L4,train,16,16,EPSG:32722,2.0,16384,16384,61.0,88.0,128.0,145.0,134.0,160.0,0.4117,2.429,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_152_L4_FUSED.tif,2026-08-18T13:37:58+00:00
CBERS_4A_WPM_20230704_206_152_L4_27_30,CBERS_4A_WPM_20230704_206_152_L4,train,27,30,EPSG:32722,2.0,27648,30720,61.0,88.0,128.0,145.0,134.0,160.0,0.394,2.538,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_152_L4_FUSED.tif,2026-08-18T13:37:58+00:00
CBERS_4A_WPM_20230704_206_152_L4_31_11,CBERS_4A_WPM_20230704_206_152_L4,train,31,11,EPSG:32722,2.0,31744,11264,61.0,88.0,128.0,145.0,134.0,160.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_152_L4_FUSED.tif,2026-08-18T13:37:57+00:00
CBERS_4A_WPM_20230704_206_153_L4_10_15,CBERS_4A_WPM_20230704_206_153_L4,train,10,15,EPSG:32722,2.0,10240,15360,51.0,78.0,120.0,325.0,267.0,295.0,0.3,3.333,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_153_L4_FUSED.tif,2026-08-18T13:38:02+00:00
CBERS_4A_WPM_20230704_206_153_L4_13_21,CBERS_4A_WPM_20230704_206_153_L4,test,13,21,EPSG:32722,2.0,13312,21504,51.0,78.0,120.0,325.0,267.0,295.0,0.3,3.333,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_153_L4_FUSED.tif,2026-08-18T13:38:01+00:00
CBERS_4A_WPM_20230704_206_153_L4_18_13,CBERS_4A_WPM_20230704_206_153_L4,train,18,13,EPSG:32722,2.0,18432,13312,51.0,78.0,120.0,325.0,267.0,295.0,0.3,3.333,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_153_L4_FUSED.tif,2026-08-18T13:38:02+00:00
CBERS_4A_WPM_20230704_206_153_L4_34_17,CBERS_4A_WPM_20230704_206_153_L4,train,34,17,EPSG:32722,2.0,34816,17408,51.0,78.0,120.0,325.0,267.0,295.0,0.4749,2.106,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230704_206_153_L4_FUSED.tif,2026-08-18T13:38:01+00:00
CBERS_4A_WPM_20230705_212_149_L4_22_49,CBERS_4A_WPM_20230705_212_149_L4,test,22,49,EPSG:32721,2.0,22528,50176,58.0,72.0,104.0,134.0,120.0,153.0,1.1565,0.865,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230705_212_149_L4_FUSED.tif,2026-08-18T13:38:04+00:00
CBERS_4A_WPM_20230705_212_149_L4_33_35,CBERS_4A_WPM_20230705_212_149_L4,train,33,35,EPSG:32721,2.0,33792,35840,58.0,72.0,104.0,134.0,120.0,153.0,1.1565,0.865,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230705_212_149_L4_FUSED.tif,2026-08-18T13:38:05+00:00
CBERS_4A_WPM_20230705_212_149_L4_44_37,CBERS_4A_WPM_20230705_212_149_L4,train,44,37,EPSG:32721,2.0,45056,37888,58.0,72.0,104.0,134.0,120.0,153.0,1.1979,0.835,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230705_212_149_L4_FUSED.tif,2026-08-18T13:38:05+00:00
CBERS_4A_WPM_20230709_205_152_L4_14_12,CBERS_4A_WPM_20230709_205_152_L4,test,14,12,EPSG:32722,2.0,14336,12288,56.0,75.0,111.0,382.0,349.0,397.0,0.3057,3.271,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230709_205_152_L4_FUSED.tif,2026-08-18T13:38:06+00:00
CBERS_4A_WPM_20230715_210_149_L4_10_44,CBERS_4A_WPM_20230715_210_149_L4,train,10,44,EPSG:32722,2.0,10240,45056,54.0,71.0,100.0,136.0,126.0,145.0,1.0302,0.971,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230715_210_149_L4_FUSED.tif,2026-08-18T13:38:07+00:00
CBERS_4A_WPM_20230715_210_149_L4_44_26,CBERS_4A_WPM_20230715_210_149_L4,test,44,26,EPSG:32722,2.0,45056,26624,54.0,71.0,100.0,136.0,126.0,145.0,1.1071,0.903,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230715_210_149_L4_FUSED.tif,2026-08-18T13:38:07+00:00
CBERS_4A_WPM_20230830_207_151_L4_10_16,CBERS_4A_WPM_20230830_207_151_L4,train,10,16,EPSG:32722,2.0,10240,16384,65.0,83.0,121.0,270.0,219.0,242.0,0.6968,1.435,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:12+00:00
CBERS_4A_WPM_20230830_207_151_L4_12_29,CBERS_4A_WPM_20230830_207_151_L4,test,12,29,EPSG:32722,2.0,12288,29696,65.0,83.0,121.0,270.0,219.0,242.0,0.5986,1.671,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:11+00:00
CBERS_4A_WPM_20230830_207_151_L4_16_23,CBERS_4A_WPM_20230830_207_151_L4,train,16,23,EPSG:32722,2.0,16384,23552,65.0,83.0,121.0,270.0,219.0,242.0,0.5921,1.689,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:13+00:00
CBERS_4A_WPM_20230830_207_151_L4_16_27,CBERS_4A_WPM_20230830_207_151_L4,train,16,27,EPSG:32722,2.0,16384,27648,65.0,83.0,121.0,270.0,219.0,242.0,0.6662,1.501,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:12+00:00
CBERS_4A_WPM_20230830_207_151_L4_27_8,CBERS_4A_WPM_20230830_207_151_L4,train,27,8,EPSG:32722,2.0,27648,8192,65.0,83.0,121.0,270.0,219.0,242.0,0.4816,2.076,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:13+00:00
CBERS_4A_WPM_20230830_207_151_L4_29_46,CBERS_4A_WPM_20230830_207_151_L4,test,29,46,EPSG:32722,2.0,29696,47104,65.0,83.0,121.0,270.0,219.0,242.0,0.4709,2.123,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:11+00:00
CBERS_4A_WPM_20230830_207_151_L4_41_45,CBERS_4A_WPM_20230830_207_151_L4,test,41,45,EPSG:32722,2.0,41984,46080,65.0,83.0,121.0,270.0,219.0,242.0,0.4069,2.457,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_151_L4_FUSED.tif,2026-08-18T13:38:11+00:00
CBERS_4A_WPM_20230830_207_155_L4_20_22,CBERS_4A_WPM_20230830_207_155_L4,train,20,22,EPSG:32722,2.0,20480,22528,108.0,118.0,160.0,498.0,395.0,430.0,0.5407,1.85,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20230830_207_155_L4_FUSED.tif,2026-08-18T13:38:14+00:00
CBERS_4A_WPM_20240630_208_154_L4_30_34,CBERS_4A_WPM_20240630_208_154_L4,train,30,34,EPSG:32722,2.0,30720,34816,70.0,77.0,114.0,210.0,171.0,193.0,0.487,2.053,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240630_208_154_L4_FUSED.tif,2026-08-18T13:38:16+00:00
CBERS_4A_WPM_20240630_208_154_L4_31_50,CBERS_4A_WPM_20240630_208_154_L4,train,31,50,EPSG:32722,2.0,31744,51200,70.0,77.0,114.0,210.0,171.0,193.0,0.3,3.333,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240630_208_154_L4_FUSED.tif,2026-08-18T13:38:16+00:00
CBERS_4A_WPM_20240630_208_154_L4_35_26,CBERS_4A_WPM_20240630_208_154_L4,train,35,26,EPSG:32722,2.0,35840,26624,70.0,77.0,114.0,210.0,171.0,193.0,0.4149,2.411,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240630_208_154_L4_FUSED.tif,2026-08-18T13:38:17+00:00
CBERS_4A_WPM_20240630_208_154_L4_44_18,CBERS_4A_WPM_20240630_208_154_L4,train,44,18,EPSG:32722,2.0,45056,18432,70.0,77.0,114.0,210.0,171.0,193.0,0.4454,2.245,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240630_208_154_L4_FUSED.tif,2026-08-18T13:38:15+00:00
CBERS_4A_WPM_20240706_213_149_L4_42_39,CBERS_4A_WPM_20240706_213_149_L4,train,42,39,EPSG:32721,2.0,43008,39936,53.0,66.0,98.0,146.0,123.0,156.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240706_213_149_L4_FUSED.tif,2026-08-18T13:38:18+00:00
CBERS_4A_WPM_20240706_213_149_L4_49_13,CBERS_4A_WPM_20240706_213_149_L4,train,49,13,EPSG:32721,2.0,50176,13312,53.0,66.0,98.0,146.0,123.0,156.0,1.0738,0.931,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240706_213_149_L4_FUSED.tif,2026-08-18T13:38:18+00:00
CBERS_4A_WPM_20240731_208_151_L4_12_18,CBERS_4A_WPM_20240731_208_151_L4,train,12,18,EPSG:32722,2.0,12288,18432,56.0,71.0,103.0,157.0,139.0,167.0,0.9944,1.006,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:22+00:00
CBERS_4A_WPM_20240731_208_151_L4_12_8,CBERS_4A_WPM_20240731_208_151_L4,train,12,8,EPSG:32722,2.0,12288,8192,56.0,71.0,103.0,157.0,139.0,167.0,0.7651,1.307,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:22+00:00
CBERS_4A_WPM_20240731_208_151_L4_22_39,CBERS_4A_WPM_20240731_208_151_L4,train,22,39,EPSG:32722,2.0,22528,39936,56.0,71.0,103.0,157.0,139.0,167.0,0.7768,1.287,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:23+00:00
CBERS_4A_WPM_20240731_208_151_L4_25_35,CBERS_4A_WPM_20240731_208_151_L4,train,25,35,EPSG:32722,2.0,25600,35840,56.0,71.0,103.0,157.0,139.0,167.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:23+00:00
CBERS_4A_WPM_20240731_208_151_L4_28_24,CBERS_4A_WPM_20240731_208_151_L4,train,28,24,EPSG:32722,2.0,28672,24576,56.0,71.0,103.0,157.0,139.0,167.0,0.9803,1.02,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:23+00:00
CBERS_4A_WPM_20240731_208_151_L4_39_42,CBERS_4A_WPM_20240731_208_151_L4,train,39,42,EPSG:32722,2.0,39936,43008,56.0,71.0,103.0,157.0,139.0,167.0,0.9508,1.052,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20240731_208_151_L4_FUSED.tif,2026-08-18T13:38:24+00:00
